quarter,industry,investment,pm_share_net,pm_share_gross,is_manufacturing,regime,npv,r,discrete,log_investment,treat
2017Q4,Information and communication,8158,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,9.006754319877503,0.04732863366262853
2018Q1,Information and communication,7708,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.950014029534257,0.04732863366262853
2018Q2,Information and communication,7613,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.937612591306213,0.04732863366262853
2018Q3,Information and communication,7421,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.912069097970134,0.04732863366262853
2018Q4,Information and communication,7509,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.923857580099885,0.04732863366262853
2019Q1,Information and communication,7220,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.884610231886873,0.04732863366262853
2019Q2,Information and communication,7673,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.945462952177666,0.04732863366262853
2019Q3,Information and communication,7703,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.949365142352965,0.04732863366262853
2019Q4,Information and communication,7180,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.87905466204227,0.04732863366262853
2020Q1,Information and communication,7344,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.901638932300326,0.04732863366262853
2021Q1,Information and communication,7448,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.915700818956903,0.04732863366262853
2021Q2,Information and communication,7895,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,8.973984926689743,0.07861811925069963
2021Q3,Information and communication,7565,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,8.931287626222456,0.07861811925069963
2021Q4,Information and communication,8351,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,9.03013657115323,0.07861811925069963
2022Q1,Information and communication,8827,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,9.085570485020233,0.07861811925069963
2022Q2,Information and communication,8378,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,9.03336450150698,0.07861811925069963
2022Q3,Information and communication,8311,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,9.025335217553026,0.07861811925069963
2022Q4,Information and communication,7514,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,8.924523226133914,0.07861811925069963
2023Q1,Information and communication,8247,0.3182919807720633,0.3277649897326042,False,super_deduction,0.247,0.05,False,9.017604776833355,0.07861811925069963
2023Q2,Information and communication,8494,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.047115310873217,0.07957299519301582
2023Q3,Information and communication,8026,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,8.990441550826862,0.07957299519301582
2023Q4,Information and communication,7817,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,8.96405612822033,0.07957299519301582
2024Q1,Information and communication,9449,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.153664194782626,0.07957299519301582
2024Q2,Information and communication,9246,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.13194630454817,0.07957299519301582
2024Q3,Information and communication,9871,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.197356444417888,0.07957299519301582
2024Q4,Information and communication,9409,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.149421957006766,0.07957299519301582
2025Q1,Information and communication,9701,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.179984251961283,0.07957299519301582
2025Q2,Information and communication,9430,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.151651375627504,0.07957299519301582
2025Q3,Information and communication,9944,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.204724633190548,0.07957299519301582
2025Q4,Information and communication,8346,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.029537661151497,0.07957299519301582
2026Q1,Information and communication,8284,0.3182919807720633,0.3277649897326042,False,full_expensing,0.25,0.05,False,9.022081222515475,0.07957299519301582
2015Q1,Metals and metal goods,680,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.522092798170152,0.09674406374888474
2015Q2,Metals and metal goods,672,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.51025834052315,0.09674406374888474
2015Q3,Metals and metal goods,715,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.5722825426940075,0.09674406374888474
2015Q4,Metals and metal goods,764,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.638567789166521,0.09674406374888474
2016Q1,Metals and metal goods,628,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.4425401664681985,0.09674406374888474
2016Q2,Metals and metal goods,634,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.452048954437226,0.09674406374888474
2016Q3,Metals and metal goods,654,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.483107351457199,0.09674406374888474
2016Q4,Metals and metal goods,686,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.530877627725885,0.09674406374888474
2017Q1,Metals and metal goods,703,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.555356891810665,0.09674406374888474
2017Q2,Metals and metal goods,834,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.726233402358747,0.09674406374888474
2017Q3,Metals and metal goods,794,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.677083461247136,0.09674406374888474
2017Q4,Metals and metal goods,769,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.645090969505644,0.09674406374888474
2018Q1,Metals and metal goods,779,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.658011045870748,0.09674406374888474
2018Q2,Metals and metal goods,698,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.548219102762372,0.09674406374888474
2018Q3,Metals and metal goods,702,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.553933404025811,0.09674406374888474
2018Q4,Metals and metal goods,662,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.495265555937008,0.09674406374888474
2019Q1,Metals and metal goods,782,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.661854740545311,0.09674406374888474
2019Q2,Metals and metal goods,799,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.683360945766275,0.09674406374888474
2019Q3,Metals and metal goods,900,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.802394763324311,0.09674406374888474
2019Q4,Metals and metal goods,827,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.717804695023691,0.09674406374888474
2020Q1,Metals and metal goods,995,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.902742737158593,0.09674406374888474
2021Q1,Metals and metal goods,758,0.6506179725802191,0.695911134308757,True,pre,0.148695652173913,0.05,False,6.630683385642372,0.09674406374888474
2021Q2,Metals and metal goods,848,0.6506179725802191,0.695911134308757,True,super_deduction,0.247,0.05,False,6.742880635791903,0.16070263922731412
